year,file_in,file_out,valid_before_CO,nan_before_CO,nan_remaining_CO,mean_before_CO,mean_after_CO
2007,GAIA_BUILT_PCT_1km_CO_2007.tif,GAIA_BUILT_PCT_1km_CO_2007_CLEAN.tif,926894,1715843,0,0.776572048664093,0.775323212146759
2008,GAIA_BUILT_PCT_1km_CO_2008.tif,GAIA_BUILT_PCT_1km_CO_2008_CLEAN.tif,926894,1715843,0,0.7905974388122559,0.789326012134552
2009,GAIA_BUILT_PCT_1km_CO_2009.tif,GAIA_BUILT_PCT_1km_CO_2009_CLEAN.tif,926894,1715843,0,0.8157351613044739,0.8144233226776123
2010,GAIA_BUILT_PCT_1km_CO_2010.tif,GAIA_BUILT_PCT_1km_CO_2010_CLEAN.tif,926894,1715843,0,0.8420596122741699,0.8407054543495178
2011,GAIA_BUILT_PCT_1km_CO_2011.tif,GAIA_BUILT_PCT_1km_CO_2011_CLEAN.tif,926894,1715843,0,0.8786333799362183,0.8772203922271729
2012,GAIA_BUILT_PCT_1km_CO_2012.tif,GAIA_BUILT_PCT_1km_CO_2012_CLEAN.tif,926894,1715843,0,0.9491916298866272,0.9476651549339294
2013,GAIA_BUILT_PCT_1km_CO_2013.tif,GAIA_BUILT_PCT_1km_CO_2013_CLEAN.tif,926894,1715843,0,1.065278172492981,1.0635651350021362
2014,GAIA_BUILT_PCT_1km_CO_2014.tif,GAIA_BUILT_PCT_1km_CO_2014_CLEAN.tif,926894,1715843,0,1.2423211336135864,1.2403233051300049
2015,GAIA_BUILT_PCT_1km_CO_2015.tif,GAIA_BUILT_PCT_1km_CO_2015_CLEAN.tif,926894,1715843,0,1.5369610786437988,1.534489393234253
2016,GAIA_BUILT_PCT_1km_CO_2016.tif,GAIA_BUILT_PCT_1km_CO_2016_CLEAN.tif,926894,1715843,0,1.8222148418426514,1.819284439086914
2017,GAIA_BUILT_PCT_1km_CO_2017.tif,GAIA_BUILT_PCT_1km_CO_2017_CLEAN.tif,926894,1715843,0,1.8234015703201294,1.8204692602157593
2018,GAIA_BUILT_PCT_1km_CO_2018.tif,GAIA_BUILT_PCT_1km_CO_2018_CLEAN.tif,926894,1715843,0,1.8596516847610474,1.856661081314087
2019,GAIA_BUILT_PCT_1km_CO_2019.tif,GAIA_BUILT_PCT_1km_CO_2019_CLEAN.tif,926894,1715843,0,1.8596516847610474,1.856661081314087
